Ticker,PVP,PL,ROE,DivYield,DebtToEquity,MarketCap,Score
PETR4,1.2107637,7.120072,0.19022,11.72,88.498,533874081792,53
MGLU3,0.69822323,20.958334,0.033099998,2.87,85.197,8182792192,40
GGBR4,0.7949102,14.2550335,0.025339998,2.93,28.944,41953415168,40
SUZB3,1.6629524,5.453284,0.35192,1.91,231.459,72867913728,35
PRIO3,1.700812,4.493399,0.45543,0.0,105.244,44156358656,35
BBAS3,0.8496007,11.479166,0.08884,1.03,0.0,157265805312,35
RADL3,6.455159,32.70886,0.20379,1.47,116.237,45154680832,30
WEGE3,9.507583,32.974026,0.31188,3.17,19.717,213058224128,30
HAPV3,0.10604627,0.0,-0.0063899998,0.0,35.434,4946643456,30
LREN3,1.5649041,11.992537,0.13555999,5.74,28.287,15783941120,30
BBDC4,1.2698601,10.056337,0.13754,1.06,0.0,226559590400,28
CSNA3,0.8139536,0.0,-0.05342,15.64,306.747,11510496256,25
ITUB4,2.5978649,12.014962,0.21014,0.45,0.0,531260735488,20
VALE3,2.0792606,31.609156,0.05867,7.86,61.326,383208357888,20
EQTL3,1.8722805,16.447876,0.1313,5.6,193.509,53601054720,10
RENT3,2.1641917,30.892216,0.06967,3.96,182.108,54400851968,10
RAIL3,2.2798762,84.799995,0.026889998,4.72,198.749,31474319360,10
ELET3,0.0,0.0,0.0,0.0,0.0,0,0
JBSS3,0.0,0.0,0.0,0.0,0.0,0,0
EMBR3,0.0,0.0,0.0,0.0,0.0,0,0
